,Unnamed: 0,gender,SeniorCitizen,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,Female,0,1,No,No phone service,DSL,No,Yes,No,No,No,Yes,Electronic check,29.85,29.85,No
1,1,Male,0,34,Yes,No,DSL,Yes,No,Yes,No,No,No,Mailed check,56.95,1889.5,No
2,2,Male,0,2,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Mailed check,53.85,108.15,Yes
3,3,Male,0,45,No,No phone service,DSL,Yes,No,Yes,No,No,No,Bank transfer (automatic),42.3,1840.75,No
4,4,Female,0,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Electronic check,70.7,151.65,Yes
5,5,Female,0,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,99.65,820.5,Yes
6,6,Male,0,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Credit card (automatic),89.1,1949.4,No
7,7,Female,0,10,No,No phone service,DSL,Yes,No,No,No,No,No,Mailed check,29.75,301.9,No
8,8,Female,0,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,104.8,3046.05,Yes
9,9,Male,0,62,Yes,No,DSL,Yes,Yes,No,No,No,No,Bank transfer (automatic),56.15,3487.95,No
10,10,Male,0,13,Yes,No,DSL,Yes,No,No,No,No,Yes,Mailed check,49.95,587.45,No
11,11,Male,0,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),18.95,326.8,No
12,12,Male,0,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Credit card (automatic),100.35,5681.1,No
13,13,Male,0,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.7,5036.3,Yes
14,14,Male,0,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Electronic check,105.5,2686.05,No
15,15,Female,0,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Credit card (automatic),113.25,7895.15,No
16,16,Female,0,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.65,1022.95,No
17,17,Male,0,71,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Bank transfer (automatic),106.7,7382.25,No
18,18,Female,0,10,Yes,No,DSL,No,No,Yes,No,No,No,Credit card (automatic),55.2,528.35,Yes
19,19,Female,0,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Electronic check,90.05,1862.9,No
20,20,Male,1,1,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Electronic check,39.65,39.65,Yes
21,21,Male,0,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),19.8,202.25,No
22,22,Male,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.15,20.15,Yes
23,23,Female,0,58,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Credit card (automatic),59.9,3505.1,No
24,24,Male,0,49,Yes,No,DSL,Yes,Yes,No,No,No,No,Credit card (automatic),59.6,2970.3,No
25,25,Female,0,30,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Bank transfer (automatic),55.3,1530.6,No
26,26,Male,0,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Electronic check,99.35,4749.15,Yes
27,27,Male,0,1,No,No phone service,DSL,No,Yes,No,No,No,No,Electronic check,30.2,30.2,Yes
28,28,Male,0,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),90.25,6369.45,No
29,29,Female,0,17,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Mailed check,64.7,1093.1,Yes
30,30,Female,1,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),96.35,6766.95,No
31,31,Male,1,2,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),95.5,181.65,No
32,32,Female,0,27,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Mailed check,66.15,1874.45,No
33,33,Male,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer (automatic),20.2,20.2,No
34,34,Male,1,1,Yes,No,DSL,No,No,No,No,No,No,Bank transfer (automatic),45.25,45.25,No
35,35,Female,0,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Bank transfer (automatic),99.9,7251.7,No
36,36,Male,0,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Electronic check,69.7,316.9,Yes
37,37,Female,0,46,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Credit card (automatic),74.8,3548.3,No
38,38,Male,0,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,106.35,3549.25,Yes
39,39,Female,0,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),97.85,1105.4,Yes
40,40,Male,0,10,Yes,No,DSL,No,Yes,No,No,No,No,Mailed check,49.55,475.7,No
41,41,Female,0,70,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Credit card (automatic),69.2,4872.35,No
42,42,Female,0,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,20.75,418.25,No
43,43,Female,0,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Credit card (automatic),79.85,4861.45,No
44,44,Female,0,13,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Electronic check,76.2,981.45,No
45,45,Female,0,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,84.5,3906.7,No
46,46,Male,0,2,Yes,No,DSL,No,Yes,No,No,No,No,Mailed check,49.25,97,No
47,47,Female,0,2,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Electronic check,80.65,144.15,Yes
48,48,Male,0,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),79.75,4217.8,No
49,49,Female,0,69,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Credit card (automatic),64.15,4254.1,No
50,50,Female,1,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Electronic check,90.25,3838.75,No
51,51,Female,0,15,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),99.1,1426.4,Yes
52,52,Female,1,25,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Credit card (automatic),69.5,1752.65,No
53,53,Female,1,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Credit card (automatic),80.65,633.3,Yes
54,54,Female,1,60,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),74.85,4456.35,No
55,55,Male,1,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Electronic check,95.45,1752.55,Yes
56,56,Female,0,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),99.65,6311.2,No
57,57,Male,1,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,108.45,7076.35,No
58,58,Female,0,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card (automatic),24.95,894.3,No
59,59,Female,0,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),107.5,7853.7,No
60,60,Female,0,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Electronic check,100.5,4707.1,No
61,61,Male,0,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Bank transfer (automatic),89.9,5450.7,No
62,62,Male,0,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Bank transfer (automatic),42.1,2962,No
63,63,Female,0,18,Yes,No,DSL,No,No,Yes,No,No,Yes,Credit card (automatic),54.4,957.1,No
64,64,Female,0,9,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Electronic check,94.4,857.25,Yes
65,65,Female,0,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Electronic check,75.3,244.1,No
