,MultipleLines,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,Churn
6918,0,1,1,103.75,3361.05,1
6684,0,0,0,36.05,402.6,0
203,0,1,0,78.3,1033.95,0
2855,0,0,0,19.35,867.3,0
3961,0,0,0,29.25,226.95,0
837,0,0,0,44.4,44.4,1
4215,1,1,1,108.2,7840.6,0
1230,1,1,0,87.2,4017.45,0
5339,1,1,0,85.45,2509.95,0
1609,1,1,1,111.55,5720.35,0
4410,0,1,1,94.65,1461.15,0
4745,1,1,1,100.45,3414.65,0
5679,1,0,1,86.55,649.65,1
2569,1,0,0,24.85,1871.85,0
6005,1,0,1,71.75,4374.55,0
4553,1,1,1,115.8,8424.9,0
2484,0,0,0,20.5,255.5,0
5367,1,1,1,82.5,5215.1,0
2440,0,0,0,19.45,674.55,0
2614,1,0,1,94.35,6341.45,1
657,0,1,1,78.8,3597.5,0
790,0,1,1,59.85,3590.2,0
2388,0,0,1,55.45,55.45,0
6130,0,0,0,64.9,3795.45,0
1359,1,1,1,94.75,889.9,1
5160,0,0,0,74.35,74.35,0
2347,1,0,0,24.4,203.95,0
4764,0,0,0,45.15,98.5,1
2523,0,0,0,20.25,873.4,0
5341,1,0,0,74.45,74.45,1
6149,0,0,0,25.85,25.85,0
5874,1,1,1,100.6,1060.2,1
6209,0,0,0,24.85,788.05,0
5378,1,1,0,75.8,4415.75,0
3161,0,0,0,19.35,324.8,0
3226,0,0,0,20.75,141.1,0
6012,0,0,1,83.6,404.2,1
1780,0,0,0,20.15,390.85,1
2618,0,0,0,19.9,505.45,0
803,0,1,0,64.2,3009.5,0
857,0,0,0,50.8,50.8,1
5514,0,0,0,48.45,48.45,0
5184,1,0,0,84.7,5711.05,0
4961,0,0,0,44.35,768.05,0
219,0,1,0,80.0,624.6,0
1288,0,0,0,19.55,1240.15,0
582,1,1,0,89.2,346.2,1
43,1,1,0,79.85,4861.45,0
1234,0,1,1,105.85,5826.65,0
4830,0,1,1,74.55,4191.45,0
6815,1,0,0,69.85,5102.35,0
1892,0,1,1,50.95,207.35,0
4267,1,1,1,91.15,6637.9,0
6162,0,1,1,49.45,2907.55,0
3918,0,1,1,90.2,1776.55,1
5822,0,0,0,70.55,2419,0
